centre-id,centre-ID-OSV,fieldwork-ID,year,date-of-inspection,date,name-of-designated-centre,address-of-centre,name-of-provider,type-of-inspection,number-of-residents-present,report-id,about,respite-category,num-compliant,num-notcompliant,num-substantiallycompliant,Regulation_03_Statement_of_purpose,Regulation_04_Written_policies_and_procedures,Regulation_05_Individualised_assessment_and_personal_plan,Regulation_06_Healthcare,Regulation_07_Positive_behaviour_support,Regulation_08_Protection,Regulation_09_Residents'_rights,Regulation_10_Communication,Regulation_11_Visits,Regulation_12_Personal_possessions,Regulation_13_General_welfare_and_development,Regulation_14_Person_in_charge,Regulation_15_Staffing,Regulation_16_Training_and_staff_development,Regulation_17_Premises,Regulation_18_Food_and_nutrition,Regulation_19_Directory_of_residents,Regulation_20_Information_for_residents,Regulation_21_Records,Regulation_22_Insurance,Regulation_23_Governance_and_management,Regulation_24_Admissions_and_contract_for_the_provision_of_services,"Regulation_25_Temporary_absence,_transition_and_discharge_of_residents",Regulation_26_Risk_management_procedures,Regulation_27_Protections_against_infection,Regulation_28_Fire_precautions,Regulation_29_Medicines_and_pharmaceutical_services,Regulation_30_Volunteers,Regulation_31_Notification_of_incidents,Regulation_32_Notifications_of_periods_when_person_in_charge_is_absent,Regulation_33_Notifications_of_procedures_and_arrangements_for_periods_when_person_in_charge_is_absent,Regulation_34_Complaints_procedure,Registration_Reg5,Registration_Reg8,Registration_Reg7
5490,OSV-0005490,MON-0030063,2020,27 July 2020,2020-07-27,Dreenan Ard Greine Court,Donegal,Health Service Executive,Short Notice Announced,5,5490-20200727,"Dreenan provides full-time residential care and support to six adults with a disability. The designated centre comprises a purpose built six bedroom bungalow. In addition to their individual bedrooms, residents also have access to communal facilities at the centre which include two sitting rooms, a dining room, a kitchenette, a laundry room and bathroom facilities. The centre is located within a campus setting which contains a further three designated centres operated by the provider. It is located in a residential area of a town and is in close proximity to amenities such as shops, leisure facilities and cafes. Residents are supported by a staff team of both nurses and care assistants. During the day, residents are supported with their assessed needs by four staff members with one nurse being on duty at all times. At night-time, residents are supported by two staff, a nurse and health care assistant, with additional support being provided by a nurse in charge who is responsible for the entire campus.",,8,4,2,Compliant,,Substantially compliant,Compliant,Substantially compliant,Compliant,Not compliant,,,,,Compliant,Not compliant,Compliant,Not compliant,,,,,,Not compliant,,,Compliant,Compliant,,,,Compliant,,,,,,
4463,OSV-0004463,MON-0032926,2021,23 June 2021,2021-06-23,Azalea Services,Roscommon,Brothers of Charity Services Ireland CLG,Short Notice Announced,4,4463-20210623,"Azalea Services is a residential service, which is run by the Brothers of Charity Services. The centre provides accommodation and support for five male and female adults over the age of 18 years, with moderate to severe intellectual disability, including those with challenging behaviour and autistic needs. The centre comprises of two bungalows which can accommodate two and three residents in each and have suitable facilities  and accommodation.  Both bungalows comprise of single residents' bedrooms, en-suites, shared bathrooms, office spaces, kitchen and dining areas, utility areas and sitting rooms. Residents also have access to garden areas.Both houses are located in close proximity to each other on the outskirts of a large town. Staffing is available all times to support the residents and residents attend day services locally during the week. There are two staff in one house and a single staff in the second. Both waking and sleep over staff are provided.",,14,1,3,Compliant,,Compliant,Compliant,Substantially compliant,Compliant,Compliant,,,,Substantially compliant,Compliant,Substantially compliant,Compliant,Compliant,,,,,,Not compliant,,,Compliant,Compliant,Compliant,Compliant,,Compliant,,,Compliant,,,
7781,OSV-0007781,MON-0029343,2021,07 October 2021,2021-10-07,Ohana,Kilkenny,Saint Patrick's Centre (Kilkenny),Announced,2,7781-20211007,"Ohana is a designated centre for two residents, over the age of 18 years, who receive a service from Saint Patrick’s Centre Kilkenny.  The provider describes the aim of the service “To provide intentional supports for People with disabilities; enabling them to live full and inclusive lives by contributing and enriching the fabric of their local communities.” The centre operates all year round and staffing is provided day and night to meet support the needs of the residents. The centre affords high supports in two apartments with the support of a person in charge, nurse, social care worker and health care assistants on duty throughout the day.",,7,2,5,Compliant,,Compliant,Compliant,Substantially compliant,Compliant,,,,,,,Compliant,Substantially compliant,Compliant,,,,,,Substantially compliant,Substantially compliant,,Compliant,Not compliant,Substantially compliant,,,Not compliant,,,,,,
5815,OSV-0005815,MON-0041132,2023,18 August 2023,2023-08-18,DC19,Kildare,St John of God Community Services CLG,Unannounced,,5815-20230818,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2395,OSV-0002395,MON-0026086,2021,28 September 2021,2021-09-28,Cromwellsfort Road Residential,Dublin 12,St Michael's House,Announced,4,2395-20210928,"Cromwellsfort Road is a designated centre operated by Saint Michael's House located in South County Dublin. It provides community residential services to six adults with a disability. The centre comprises three separate apartments. Apartment one comprises a bedroom, bathroom facilities and a combined kitchen, dining room and lounge area. Apartment two comprises two bedrooms each with their own en-suite bathroom with walk-in shower, utility room with laundry facilities, additional toilet and combined kitchen, dining room and lounge area. Apartment three comprises three bedrooms each with their own en-suite bathroom with walk-in shower facilities, utility room with laundry facilities, additional toilet, kitchen dining room and separate sitting room. The centre is staffed by a person in charge and social care workers.",,10,0,3,,,Compliant,Compliant,,Compliant,Compliant,,,,Compliant,,Compliant,Substantially compliant,Substantially compliant,,,,,,Substantially compliant,Compliant,,Compliant,Compliant,Compliant,,,,,,,,,
3291,OSV-0003291,MON-0040480,2023,03 October 2023,2023-10-03,Cork City North 5,Cork,COPE Foundation,Unannounced,26,3291-20231003,"Cork City North 5 consists of three units all located within one large building in a city. Combined the three units can support a maximum of 28 residents but at the time of this inspection was applying to reduce the capacity to 27. The centre mainly provides a full-time residential support for residents with intellectual disabilities of both genders and over the age of 45 but it also provides one respite place. Individual bedrooms are available for most residents but some twin rooms are in the centre. Other facilities available for residents include bathrooms, sitting rooms, dining rooms, kitchens and linen rooms. Support to residents is provided by the person in charge, nursing staff, care assistants and activation staff.",Respite,3,8,6,Substantially compliant,,Not compliant,Compliant,,Substantially compliant,Not compliant,,,,Substantially compliant,,Not compliant,,Substantially compliant,,,Compliant,,Compliant,Not compliant,Substantially compliant,Not compliant,Not compliant,Substantially compliant,Not compliant,,,,,,Not compliant,Not compliant,,Not compliant
7893,OSV-0007893,MON-0031917,2023,15 June 2023,2023-06-15,Breffni Beag,Laois,GALRO Unlimited Company,Announced,5,7893-20230615,"Breffni Beag is a designated centre run by GALRO Unlimited Company. The centre can provide respite and shared care for up to seven residents, who are under the age of 18 years and who have an intellectual disability. The centre is centrally located in a town in Co. Laois, close to all amenities, and comprises of one two-storey building , with an adjacent two bedroom annex. During their stay, residents have their own bedroom, access to en-suite facilities, shared bathrooms, sitting rooms, kitchen and dining room, utility and staff offices. There is also the facility of an enclosed garden and external sensory room, with multiple play areas to use as residents wish. Staff are on duty both day and night to support the residents who avail of this service.",Respite,18,7,1,Not compliant,Compliant,Not compliant,Not compliant,,Compliant,Not compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,,Not compliant,Compliant,Not compliant,Not compliant,Compliant,Substantially compliant,Compliant,Compliant,,,Compliant,,,Compliant,,,
5489,OSV-0005489,MON-0031963,2021,16 March 2021,2021-03-16,Dunwiley & Cloghan,Donegal,Health Service Executive,Short Notice Announced,7,5489-20210316,"Dunwiley and Cloghan is registered to provide full-time residential care and support for up to ten male and female adults. The designated centre comprises of a six bed bungalow and a four-bed bungalow. Although the centre has a registered bed capacity for up to ten beds, the centre currently has a vacancy for two beds and provider has taken the decision to only use eight beds in the centre, due to incompatibilities of residents in the centre. The centre is located within a campus setting which contains three other designated centres operated by the provider. The centre is located in a residential area of a town in Co. Donegal and is in close proximity to amenities such as shops, leisure facilities and coffee shops. There is transport available for residents to travel to appointments or shops if they wish. Residents are supported by a staff team of both nurses and care assistants. During the day, support is provided by seven staff (five in one bungalow and two in the other). At night residents are supported by two staff members in each bungalow. Nursing care is provided on a 24/7, basis meaning a nurse is allocated in each bungalow during the day and at night. The person in charge has a dual role and is also responsible for one other designated centres as well as being the Acting Director of Services for the whole campus. She is supported by a Clinical Nurse Manager 2 who is full time and is responsible for both houses in the centre.",,0,9,0,,,Not compliant,,Not compliant,Not compliant,Not compliant,Not compliant,,,,Not compliant,Not compliant,,,,,,,,Not compliant,,,Not compliant,,,,,,,,,,,
2653,OSV-0002653,MON-0039745,2023,06 September 2023,2023-09-06,Nenagh Supported Accommodation,Tipperary,The Rehab Group,Unannounced,6,2653-20230906,"Nenagh Support Accommodation is a designated centre operated by RehabCare. The designated centre provides community residential services to six adults with a disability. The designated centre is located in a town in Co. Tipperary and consists a five bed two storey house and an adjacent self-contained apartment. The two storey house accommodates five residents and consists of a living room, kitchen/dining room, utility room, staff bedroom, five resident bedrooms and shared bathrooms. The apartment accommodates one resident and consists of a kitchen/living room, bathroom and bedroom. The centre is staffed by the person in charge, care workers and support workers.",,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,Not compliant,,,,,,,,,,
5691,OSV-0005691,MON-0035422,2022,02 February 2022,2022-02-02,Harmony,Sligo,Health Service Executive,Unannounced,5,5691-20220202,"Harmony is a residential and shared care house which provides a service to both male and female adults over the age of 18. Residents of this service have a moderate to significant intellectual disability and may have a secondary diagnosis of autism. The service can also support residents with physical needs and palliative care needs. Harmony provides full-time care to four residents and shared care for two residents. The centre does not offer emergency admissions at present. The centre comprises of one large, single-storey house which is located within walking distance of a medium sized town where transport links such as buses, trains and taxis are available. Each resident has their own bedroom and there are appropriate bathroom facilities available for residents to use. The centre has a medium-sized kitchen and dining room and two separate sittings rooms are provided, which are all comfortably furnished. There is also a multisensory room and spacious back garden for residents to enjoy. The service is staffed with a mix of nursing staff and social care assistants and provides waking night cover to support residents.",,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,Substantially compliant,,,,,,,,,,
1632,OSV-0001632,MON-0030801,2020,19 November 2020,2020-11-19,Steadfast House Respite Services,Monaghan,Steadfast House Company Limited By Guarantee,Short Notice Announced,3,1632-20201119,"Steadfast House Respite Service is a five bedded home, established in 2010, situated outside a town in Co. Monaghan. Steadfast House Respite Service can accommodate a maximum number of four adult residents per night. The centre provides care for people with low, medium, high and maximum dependency needs. The range of needs that the centre intend to meet for residents are intellectual disabilities including those with complex care needs and physical and/or sensory disabilities. It consists of five bedrooms including two en-suites; bedroom five has an overhead hoist fitted that links to the main bathroom. It also has a kitchen dining area, sitting room and a back kitchen. Steadfast House Respite Service has its own garden to front and back of house, with tiled patio area at back of house with outdoor seating provided. The staffing arrangements include nurses, a social care worker and health care assistants and the staffing rosters are planned in accordance with admissions to the centre.",Respite,16,0,1,,Compliant,Compliant,Compliant,Compliant,Compliant,,,,Compliant,,Compliant,Compliant,Compliant,Compliant,,Substantially compliant,,,,Compliant,Compliant,,Compliant,Compliant,Compliant,Compliant,,,,,,,,
5091,OSV-0005091,MON-0031893,2021,24 March 2021,2021-03-24,Nova Residential Services,Waterford,Brothers of Charity Services Ireland CLG,Short Notice Announced,4,5091-20210324,"Nova Residential Services consists of two residential units, one dormer bungalow located in a rural location and a two-storey house located in an urban area. The centre provides residential care for a maximum of eight adult residents, with intellectual disabilities. All units of the centre are open overnight 365 days of the year and also on a 24 hour basis at weekends and during day service holiday periods. Each resident has their own bedroom and other facilities in the centre include kitchen/dining areas, sitting rooms and bathroom facilities. Staff support is provided by social care workers with care assistants providing relief cover.",,11,6,2,Compliant,,Substantially compliant,Compliant,,Compliant,Not compliant,Compliant,Compliant,Compliant,Not compliant,Compliant,Not compliant,Compliant,Not compliant,,,,,,Not compliant,,,Compliant,Compliant,Not compliant,,,Compliant,,,Substantially compliant,,,
5011,OSV-0005011,MON-0030141,2021,11 February 2021,2021-02-11,Brambley Services,Galway,Brothers of Charity Services Ireland CLG,Short Notice Announced,6,5011-20210211,"The centre is located within the campus of the John Paul Centre in Galway City. Brambley Services provides an integrated service to up to six residents who have an intellectual disability and/or a diagnosis of autism. The centre consists of a bungalow style house, divided into four apartments which are interlinked by adjoining corridors and are only accessed by staff when supporting residents. There are two two bedroom apartments and two one bedroom apartments. Each of the apartments consisted of a sitting room, kitchen, dining/sitting room, bathroom and utility. Residents are supported to live as independently as possible with the support of staff. For example, staff support residents to cook, or assist in cooking or baking in their kitchens and to attend to their own laundry in each of their apartments. The residents have their own bedrooms and there are sufficient communal areas for the residents to relax and have visitors if they so wished. Each of the apartments have a small garden. Transport is provided for the residents to support them accessing the community to participate in community activities. There is a high staffing ratio in the centre to ensure residents with behaviours of concern are well supported. This includes up to a 2:1 staff ratio and a waking staff at night shared between the four apartments.",,11,0,0,,,Compliant,Compliant,Compliant,Compliant,Compliant,,,,,Compliant,Compliant,Compliant,,,,,,,Compliant,,,Compliant,Compliant,,,,,,,,,,
2454,OSV-0002454,MON-0035837,2022,27 September 2022,2022-09-27,Millbrook,Monaghan,Health Service Executive,Unannounced,7,2454-20220927,"Millbrook provides 24 hour care and support to seven adults (both male and female) with disabilities. The service is an accessible bungalow on the outskirts of a large town in Co. Monaghan comprising of a fully furnished sitting room, a relaxation room, a visitor’s room and a large fully equipped kitchen/dining room and utility room. The house has two large communal bathrooms and seven bedrooms, two of which are ensuite. At the rear of the building there is a semi independent living unit where one resident resides. There are large garden areas to the rear of the premises and adequate parking facilities at the front of the building. The service has its own transport so as to support residents to avail of community based activities and take trips to nearby towns. It is staffed on a 24/7 basis by a full-time person in charge, a team of staff nurses and healthcare care assistants.",,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,Substantially compliant,,,,,,,,,,
4041,OSV-0004041,MON-0033133,2021,24 May 2021,2021-05-24,Ardcuan Group - Community Residential Service,Dublin 7,Daughters of Charity Disability Support Services Company Limited by Guarantee,Short Notice Announced,3,4041-20210524,"Ardcuan is a community based that provides respite service and an additional residential service to one individual in an adjacent apartment building. The centre is comprised of a three story house and is located in a central area of a city and in close proximity to local shops and other amenities. The premises of the centre is made up of a three storey house with an apartment attached to the side of the building. There are four bedrooms in the main two storey building and two bedrooms in the attached apartment. Four of these bedrooms in the main two storey building are shared with two beds in each; three of which contain en-suite bathrooms. There are also two separate bathrooms in the centre. The service provides planned and crisis respite care to male and female adults with an intellectual disability. In addition, one resident avails of a full residential placement in the adjacent apartment while two individuals are placed in emergency residential places in the centre currently. There are two communal sitting rooms and a communal kitchen come dining area. There is a large secure garden at the rear of the property. There is a service transport vehicle that brings residents to their daily activities. Residents and respite users are encouraged and supported to participate in the local community in line with their own wishes and preferences. Staff support is offered 24 hours a day seven days a week and rosters are changed in line with the residents' care and support needs.",Respite,6,5,1,,,Not compliant,,,Compliant,Not compliant,,,,,,Substantially compliant,Not compliant,Compliant,Compliant,,,,,Not compliant,,,,Compliant,Compliant,,,Compliant,,,Not compliant,,,
4849,OSV-0004849,MON-0031038,2021,07 July 2021,2021-07-07,Gort Supported Living Services,Galway,Brothers of Charity Services Ireland CLG,Short Notice Announced,6,4849-20210707,"Gort Supported Living Services can provide full-time residential accommodation to seven male and female residents with an intellectual disability who require varying levels of support in areas of everyday living. The age range is from 18 years of age to end of life. The service particularly supports residents to live as independently as they wish and to be actively involved in their local community. The centre is made up of one house and four self-contained apartments in a rural town, which are centrally located and close to the town amenities. All residents in the centre have their own bedrooms. Residents are supported by a staff team that includes team leaders, care assistants and a nurse. Staff sleep over in the centre at night to support residents.",,10,0,2,,,Compliant,,Compliant,Compliant,Compliant,,,,,,Compliant,Compliant,,,,,,,Compliant,,,Compliant,Compliant,Compliant,Substantially compliant,,Substantially compliant,,,,,,
5333,OSV-0005333,MON-0029813,2020,20 August 2020,2020-08-20,Rossbarna,Sligo,Health Service Executive,Short Notice Announced,9,5333-20200820,"Rossbarna service provides full-time care to nine male residents who are over the age of 18. The centre comprises of two detached residential houses that are located a short distance from each other. Both locations are within driving distance of a large town and have many local amenities that residents can access. Both houses benefit from their own mode of transport. There is ample communal space in both houses for residents to enjoy, and residents have access to a large rear garden. Residents have their own bedrooms, which are decorated to their individual preferences and there are appropriate bathroom facilities for residents to use. Residents who live in Rossbarna have a moderate degree of intellectual disability and some residents are on the autism spectrum. The centre does not offer emergency admissions at present. The staff skill mix comprises of nursing staff and healthcare assistants. Each house has a waking night staff on duty each night, with one house having a sleepover staff also in addition to the night duty staff.",,7,0,2,Compliant,,Compliant,,Substantially compliant,Compliant,,,,,,,,Compliant,,,,,,,Compliant,,,Substantially compliant,Compliant,,,,Compliant,,,,,,
2064,OSV-0002064,MON-0028922,2021,28 July 2021,2021-07-28,The Paddocks,Wicklow,Autism Initiatives Ireland Company Limited By Guarantee,Short Notice Announced,4,2064-20210728,"The Paddocks can provide 24 hour care and support to five people with Autistic Spectrum Condition (ASC) and associated conditions such as learning disabilities, mental health issues, epilepsy and other complex needs. Currently there are four residents living in the centre. The ages of the service users supported are from 18 years of age. A person centered service is provided, appropriate to the residents' individual needs. The designated centre consists of a main home with a living room, conservatory, kitchen, bedrooms and bathrooms. There are also two self-contained apartments, with one person living in each apartment, located on the grounds of the main house. Each resident has their own bedroom. The homes are in close proximity to local transport links and driving distance to many local amenities. A team leader, senior social care worker, social care workers and support workers support the residents as required according to their assessed needs.",,10,2,1,Compliant,,Compliant,Compliant,Substantially compliant,Compliant,,,,,,Compliant,Compliant,,Not compliant,,,,,,Compliant,,,Compliant,Compliant,Not compliant,,,Compliant,,,,,,
2087,OSV-0002087,MON-0031689,2023,02 August 2023                    and 03 August 2023,2023-08-03,Cove Residential Services,Waterford,Carriglea Cáirde Services,Announced,12,2087-20230803,"Cove Residential Services is a designated centre operated by Carriglea Cairde Services. It provides a community residential service to a maximum of 13 adults with a disability. The designated centre consists of three houses, one in a urban estate and two in a rural setting within close proximity of that town. Each house comprised of a kitchen, dining room, sitting rooms and individual resident bedrooms. The staff team consists of a social care workers and care assistants. The staff team are supported by the person in charge.",,8,1,5,Compliant,,Substantially compliant,Compliant,Substantially compliant,Compliant,,,,,,,Substantially compliant,Substantially compliant,Compliant,,,Compliant,,Compliant,Substantially compliant,,,Compliant,,Not compliant,,,Compliant,,,,Compliant,,
4895,OSV-0004895,MON-0035127,2023,24 January 2023,2023-01-24,Ennis Adult Respite Service,Clare,Brothers of Charity Services Ireland CLG,Unannounced,0,4895-20230124,"In this centre a respite service is provided for up to a maximum of four residents at any one time; residents are over the age of 18 years. Approximately fourteen residents currently avail of the respite service. The centre is located in a residential area of the busy town and comprises of one detached two-storey dwelling. Each resident is provided with their own bedroom with en-suite facilities. In addition there is a shared kitchen and dining area, utility room, staff office, sitting room and garden space. There is one bedroom at ground floor level allocated to residents who needs preclude them from using the first-floor facilities. The model of care is social and there are staff on duty at all times to support residents. Management and oversight responsibility is delegated to the person in charge supported by a social care worker.",Respite,8,3,0,,,Not compliant,Compliant,Compliant,Compliant,,,,,,,Compliant,Compliant,,,,,,,Not compliant,,,Compliant,,Compliant,,,Not compliant,,,Compliant,,,
5537,OSV-0005537,MON-0029265,2022,25 October 2022,2022-10-25,Ard Na Gréine Services,Galway,Ability West,Announced,4,5537-20221025,"Ard na Greine Services is a service run by Ability West. The centre provides residential care for up to four male and female residents, who are over the age of 18 years and who have an intellectual disability. The centre comprises of one dwelling house, located on the outskirts of Galway city. Residents have their own bedroom, access to communal areas, bathrooms and garden space. Transport and staffing arrangements are in place to support residents to regularly access the community. Staff are on duty both day and night to support the residents who live here.",,18,0,0,Compliant,,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,,Compliant,Compliant,Compliant,Compliant,Compliant,,,,,,Compliant,,,Compliant,Compliant,Compliant,,,Compliant,,,,Compliant,,
2506,OSV-0002506,MON-0030936,2021,20 January 2021,2021-01-20,Dungloe Services 2,Donegal,Health Service Executive,Short Notice Announced,9,2506-20210120,"This residential service provides care and support to nine adults (both male and female) with disabilities. The centre is located in Co. Donegal and in walking distance to the local town. The home comprises a detached bungalow with a sitting room, fully equipped kitchen, a dining room, a utility room, one single occupancy bedroom with ensuite, four double occupancy bedrooms, a number of shared bathroom facilities and office facilities for the management and staff team. In addition, the centre has a separate isolation unit available in a nearby location for use during the COVID-19 pandemic, if required. There is ample private parking available at the centre and a large garden area to the side and rear of the property. Transport is provided to residents so as they can access community based amenities, go to clubs, various day services and on holiday breaks. Systems are in place to ensure the health and wellbeing of the residents is provided for, and as required access to a GP and a range of other allied healthcare professionals form part of the service provided. The centre is staffed on a 24/7 basis and is managed by a qualified person in charge, who operates as a clinical nurse manager II (CNM II). She is supported in her role by an area coordinator and a team of qualified nursing professionals and healthcare assistants.",,6,1,3,,,,Compliant,Substantially compliant,Compliant,Compliant,,,,,,Compliant,,Not compliant,,,,,,Substantially compliant,,,Substantially compliant,Compliant,,,,Compliant,,,,,,
5334,OSV-0005334,MON-0027897,2022,02 March 2022,2022-03-02,The Lakehouse,Westmeath,Nua Healthcare Services Limited,Announced,5,5334-20220302,"The Lakehouse is a service run by Nua Healthcare Services Limited. The centre can provide residential care for up to five male and female residents, who are over the age of 18 years and who have an intellectual disability. The centre comprises five self-contained apartments, four in the main building together with communal living and kitchen area, and one in an adjacent cottage.  Each resident has their own bedroom, bathroom, hallway, kitchen and living space. There are well maintained garden areas, with private parking facilities to the front. The centre is located a few kilometres from a village in Co. Westmeath. Staff are on duty both day and night to support the residents who live here.",,19,0,1,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,Compliant,,,,Compliant,Compliant,Compliant,Compliant,,Compliant,,,,Compliant,,,Compliant,Compliant,Compliant,Substantially compliant,,Compliant,,,Compliant,,,
1689,OSV-0001689,MON-0024517,2021,13 January 2021,2021-01-13,Parkview,Wicklow,Sunbeam House Services Company Limited by Guarantee,Short Notice Announced,4,1689-20210113,"Parkview is a designated centre operated by Sunbeam House Services Company Limited by Guarantee. The centre provides residential services to people who are fully ambulant, with moderate support needs. Residents are encouraged and supported to live as independently as possible within their local community. The designated centre can provide for a maximum of four adults with intellectual disabilities, of mixed gender who are over the age of 18 years. This designated centre was originally two houses that have been combined to become a large home with six bedrooms. The ground floor comprises a kitchen, sitting/dining room, a bedroom with en-suite bathroom and a utility room. Upstairs has four bedrooms, one sitting room, an office and two bathrooms. There is an enclosed garden space to the rear of the property. The staff team consists of social care workers and is managed by a full-time person in charge, with support of a deputy manager and senior manager.",,10,0,1,Compliant,,Compliant,Compliant,Compliant,Compliant,,,,,,Compliant,Compliant,,,,,,,,Compliant,,,,Compliant,Substantially compliant,,,,,,Compliant,Compliant,,
5633,OSV-0005633,MON-0035537,2022,29 March 2022,2022-03-29,Clannad,Kilkenny,Saint Patrick's Centre (Kilkenny),Unannounced,4,5633-20220329,"Clannad is a residential centre located in Co. Kilkenny. The centre affords a service to four adults, both male and female over the age of 18 years with an intellectual disability. The service operates on a 24 hour 7 day a week basis ensuring residents are supported by care workers at all times. The day to day operations of the service are provided by a clear governance structure.  Supports are afforded in a person centred manner as reflected within individualised personal plans. The residence is a detached bungalow house which promotes a safe homely environment decorated in tasteful manner.",,8,2,3,,,Substantially compliant,Compliant,,Not compliant,Substantially compliant,Substantially compliant,,,Compliant,,Compliant,Not compliant,Compliant,,,,,,Compliant,,,Compliant,Compliant,Compliant,,,,,,,,,
3437,OSV-0003437,MON-0027075,2021,17 November 2021,2021-11-17,St. Patrick's Cheshire - Leonardsville and Abbey Close,Carlow,The Cheshire Foundation in Ireland,Announced,5,3437-20211117,"St. Patrick's Cheshire - Leonardsville and Abbey Close is located in a market town and consists of three one storey terrace style houses in a community housing estate, a group of eight apartments surrounding a landscaped courtyard and another detached one storey dwelling. The units which make up this centre are all self-contained and each can provide a home for one resident meaning that the maximum capacity of residents living in this designated centre is 12. Each resident has their own bedroom and other facilities throughout the units which make up this centre include living areas, kitchens and bathroom facilities. The designated centre provides full-time residential services for residents of both genders, between the ages of 18 and 65 and those who have physical and sensory disabilities or neurological impairments that require a medium to high level of support. Staff support is provided by nurses, care workers and care support staff.",,8,1,4,Compliant,,,Compliant,,Compliant,Compliant,,,,,,Compliant,Substantially compliant,Substantially compliant,,,Compliant,,,Substantially compliant,,,Compliant,Substantially compliant,Not compliant,,,Compliant,,,,,,
4041,OSV-0004041,MON-0041688,2023,13 November 2023,2023-11-13,Ardcuan Group - Community Residential Service,Dublin 7,Avista CLG,Unannounced,5,4041-20231113,"Ardcuan is a community-based centre that provides respite service and an additional residential service to one individual in an adjacent apartment building. The centre is comprised of a three-story house and is located in a central area of a city in close proximity to local shops and other amenities. The premises of the centre is made up the main detached building with an apartment attached to the side of the premises. There are five bedrooms in the main building and two bedrooms in the attached apartment. The service provides planned and respite care to male and female adults with an intellectual disability and long-term residential supports to one individual in the apartment. There is a large secure garden at the rear of the property which contains an external laundry room. There is a service transport vehicle that brings residents to their daily activities. Residents and respite users are encouraged and supported to participate in the local community in line with their own wishes and preferences. Staff support is offered 24 hours a day, seven days a week and rosters are changed in line with respite users' care and support needs.",Respite,9,1,1,,,,,,Compliant,,,Compliant,Compliant,,,Substantially compliant,Compliant,Compliant,,,,Compliant,,Not compliant,,,,Compliant,,,,Compliant,,,Compliant,,,
3962,OSV-0003962,MON-0036075,2022,24 August 2022,2022-08-24,Glendhu Group - Community Residential Service,Dublin 7,Avista CLG,Unannounced,8,3962-20220824,Glendhu comprises of two joined semi-detached houses in a quiet residential area located in a suburb of a busy city. There is a shared front garden with a parking area and access to the shared back garden via a gate at the side of the building. Each house has a wheelchair accessible front door and there is access between the two houses via a door in the dining area of both houses. One house has four bedrooms upstairs. Three of these bedrooms are for residents and are single occupancy and one is used for staff sleepovers. Downstairs there is a bedroom that is occupied by one resident. There is also a storage area and adapted bathroom with a large walk in shower area to accommodate residents with reduced mobility. There is a kitchen and a separate dining area come sitting room. There is access to the back garden from both houses with a paved area with an outdoor dining table and chairs for the residents to sit out in. The second house is a mirror image of this. All bedrooms are single occupancy. There is a team providing care 24/7 that consists of nursing staff along with social care workers and healthcare assistants. There is a service vehicle that is operated by staff working there.,,2,3,4,,,,Compliant,,Compliant,,,,,,,Not compliant,Substantially compliant,Substantially compliant,,,,,,Not compliant,,,Not compliant,Substantially compliant,Substantially compliant,,,,,,,,,
7763,OSV-0007763,MON-0034405,2021,08 December 2021,2021-12-08,Ballyseedy House,Kerry,Resilience Healthcare Limited,Unannounced,6,7763-20211208,"Ballyseedy House is a large purpose built detached two-storey house located in a rural area, but within a short driving distance to a nearby town. The centre can provide residential/shared care accommodation for a maximum of six residents of both genders, between the ages of 18 and 65. The centre supports residents with Autism spectrum disorders, intellectual disabilities, physical needs and sensory needs. Support to residents is provided by the person in charge, a team leader and support staff. Each resident has their own bedroom and other facilities in the centre include bathrooms, living rooms, dining rooms, kitchens, a laundry and a staff office.",,1,2,10,,,Substantially compliant,,Substantially compliant,Substantially compliant,Substantially compliant,,,,Substantially compliant,,Substantially compliant,,Substantially compliant,,,,,,Substantially compliant,,,Compliant,Substantially compliant,Not compliant,Substantially compliant,,Not compliant,,,,,,
3955,OSV-0003955,MON-0029737,2020,02 July 2020,2020-07-02,Delvin Centre 1,Westmeath,Muiríosa Foundation,Short Notice Announced,6,3955-20200702,"This designated centre comprises of two bungalows  located in close proximity to the nearest small town. The centre offers a full time residential service to seven adults with intellectual disabilities and there are no gender restrictions. The first house has five bedrooms with a kitchen / dining area, utility room, bathroom, shower room and toilet. There is a garden to the front and an outdoor seating area to the back. The second house has six bedrooms one which has an en suite bathroom, a kitchen / dining area, sitting room, a bathroom and a shower room. There are gardens to the rear and front of house. The third house has four bedrooms with a kitchen / dining room, a sitting room, a bathroom, shower room and lawns to the front and rear of the house. Both houses have transport available for the residents. There is a full-time person in charge in place for the designated centre, nine social care workers, and three support workers.",,13,1,1,,,Compliant,Compliant,,Compliant,Compliant,,Compliant,,,Compliant,Compliant,Compliant,Substantially compliant,,,,,,Not compliant,,,Compliant,Compliant,Compliant,,,Compliant,,,Compliant,,,
